Hanzi 汉字,Pinyin 拼音,Meaning
﻿爱,ài,love; affection; be fond of
八,bā,eight (Kangxi radical 12)
爸爸,bàba,(informal) father; Dad
杯子,bēizi,cup; glass
北京,Běijīng,Beijing (capital of China)
本,běn,(mw for books); roots or stems of plants; origin; this
不,bù,no; not
不客气,bú kèqi,you're welcome; don't be polite; impolite
菜,cài,dish (type of food); vegetables
茶,chá,tea
吃,chī,eat
出租车,chūzūchē,taxi; cab
打电话,dǎ diànhuà,make a phone call
大,dà,big; large (Kangxi radical 37) | person of importance
的,de,(possessive; modifying; or descriptive particle) | bull's eye | in reality
点,diǎn,a dot; a point; a bit; a little; o'clock
电脑,diànnǎo,computer
电视,diànshì,television; TV
电影,diànyǐng,movie; film
东西,dōngxi,thing; objects; stuff; (-xī: east and west)
都,dōu,all; both (if two things are involved) | capital; metropolis
读,dú,to read; to study
对不起,duìbuqǐ,sorry
多,duō,many; much; a lot of; more than
多少,duōshao,how much; how many; which (number)
儿子,érzi,son
二,èr,two (Kangxi radical 7)
饭店,fàndiàn,restaurant; hotel
飞机,fēijī,airplane
分钟,fēnzhōng,minute; (mw for time)
高兴,gāoxìng,happy; glad; willing (do something)
个,ge,general measure word
工作,gōngzuò,work; a job
狗,gǒu,dog
汉语,Hànyǔ,Chinese language
好,hǎo,good; well; nice; very; quite
号,hào,number; day of a month; (mw for ordinal numbers)
喝,hē,to drink; interjection expressing surprise
和,hé,and; with; harmony
很,hěn,very; rather; quite; (adverb of degree)
后面,hòumian,rear; back; behind
回,huí,to return; to reply; to go back; (mw for matters or actions)
会,huì,know how; be good at; be likely to
几,jǐ,how many; several; a few | almost (Kangxi radical 16)
家,jiā,family; home; household
叫,jiào,to call; called; to yell
今天,jīntiān,today; at the present; now
九,jiǔ,nine
开,kāi,to open; to start; to turn on; to operate (a vehicle)
看,kàn,see; look at; to watch; regard
看见,kànjiàn,see; catch sight of
块,kuài,lump; (mw: piece; chunk; sum of money)
来,lái,come; arrive; ever since; next
老师,lǎoshī,teacher
了,le,(particle for a new situation or completed action)
冷,lěng,cold
里,lǐ,inside; internal; village; Chinese mile (~.5 km); neighborhood (Kangxi radical 166)
六,liù,six
妈妈,māma,mom
吗,ma,(question particle for yes/no questions)
买,mǎi,to buy
猫,māo,cat
没关系,méiguānxi,it doesn't matter; never mind
没有,méiyǒu,not have; there is not; haven't; hasn't
米饭,mǐfàn,(cooked) rice
名字,míngzi,name
明天,míngtiān,tomorrow
哪,nǎ,which; how
哪儿,nǎr,where; wherever (Beijing accent)
那,nà,that; in that case; then
呢,ne,(modal particle ending a question); how about...?; what about...?
能,néng,can; be able; capable; energy; ability
你,nǐ,you (singular)
年,nián,year
女儿,nǚ'ér,daughter
朋友,péngyou,friend
漂亮,piàoliang,pretty; beautiful
苹果,píngguǒ,apple
七,qī,seven
前面,qiánmiàn,in front; fore; at the head
钱,qián,money; coin
请,qǐng,please; invite; to request | treat
去,qù,go; to leave
热,rè,heat; hot; heat up
人,rén,person; man; people (Kangxi radical 9)
认识,rènshi,know; recognize; acquainted with (a person)
三,sān,three
商店,shāngdiàn,shop; store
上,shàng,above; up; on top; get on; go up
上午,shàngwǔ,late morning (before noon)
少,shǎo,few; little; lack; lose
谁,shéi,who
什么,shénme,what; whatever; something
十,shí,ten (Kangxi radical 24)
时候,shíhou,time; length of time; moment
是,shì,be; is; are; am
书,shū,book; letter
水,shuǐ,water (Kangxi radical 85)
水果,shuǐguǒ,fruit
睡觉,shuìjiào,to sleep; go to bed
说,shuō,speak; to say; to talk
四,sì,four
岁,suì,years old
他,tā,he; him
她,tā,she
太,tài,too (much); excessively; highest; greatest
天气,tiānqì,weather
听,tīng,listen; hear; heed
同学,tóngxué,fellow student; schoolmate
喂,wéi,hey; hello (on the phone)
我,wǒ,I; me
我们,wǒmen,we; us
五,wǔ,five
喜欢,xǐhuan,to like; be fond of
下,xià,descend; fall; below; down; next; the second (of two parts)
下午,xiàwǔ,afternoon
下雨,xiàyǔ,to rain
先生,xiānsheng,Mr.; Sir
现在,xiànzài,now
想,xiǎng,think; believe; suppose; would like to; remember with longing; to miss
小,xiǎo,small; young (Kangxi radical 42)
小姐,xiǎojie,young lady; miss; Ms.
些,xiē,some; few; several; (mw for indefinite amount)
写,xiě,to write; to compose
谢谢,xièxie,to thank; thank you
星期,xīngqī,week
学生,xuésheng,student
学习,xuéxí,learn; to study; emulate
学校,xuéxiào,school
一,yī,one; once; a (article) (Kangxi radical 1)
一点儿,yìdiǎnr,a bit; a few; a little
衣服,yīfu,clothes
医生,yīshēng,doctor
医院,yīyuàn,hospital
椅子,yǐzi,chair
有,yǒu,have; there is
月,yuè,moon; month (Kangxi radical 74: moon | (Kangxi radical 130: flesh)
再见,zàijiàn,goodbye; see you later
在,zài,at; on; in; exist; (indicating an action in progress)
怎么,zěnme,how
怎么样,zěnmeyàng,how about; how is/was it
这,zhè,this; these
中国,Zhōngguó,China
中午,zhōngwǔ,noon; midday
住,zhù,to live; reside; to stop
桌子,zhuōzi,table; desk
字,zì,word; letter; character
昨天,zuótiān,yesterday
坐,zuò,sit; take a seat
做,zuò,do; make; to produce; be; to cook; write
